tweets,label
"We have the eye-test, playoff history, counting stats, MVPs and advance stats to say that Kevin Durant has not been better than Giannis Antetokounmpo over the last two seasons. ",Negative
Carmelo Anthony is greater than Kevin Durant all time and there's no debate. ,Negative
"let me be clear: i'm not mad at anyone who says Giannis is the best player in the world. (i think) as soon as next season ¡­ it won't even be up for discussion, but for me right now ¡ª it's still Kevin Durant",Positive
"Next year we'll have Kyrie Irving, Kevin Durant, and Ben Simmons for a full season¡­ I'm not worried at all",Positive
Kevin Durant is better,Positive
Hell of a season!! Proud of my guys and how we fought when we coulda gave up!! Wouldn't wanna go to war with any other teammates. Congrats to the Warriors and there success! Great players over there with good class act! It was fun battling against you guys this series!,Positive
"I'm tuning in all the way from Denver.  We can't even watch the regular season games here, but I'm still a fan!",Positive
Happy NFL draft eve. Here's a look at what to know about Trey McBride's projections and other former CSU players in the mix to join the NFL,Positive
Nothing but respect between the @warriors & @nuggets after a tough series.,Positive
Nah this is insane¡­ Jokic literally lead the Nuggets in every possible stat.,Negative
"Heart heavy right now. Wish I could of played tonight and battled with my bros. Maybe it would of been a different outcome, maybe not..Regardless Proud of our fight. Nuggets nation thank you for your support, means a lot to me & my family. Congrats to GSW, great team no doubt!",Negative
The Denver Nuggets have been eliminated from the playoffs.,Negative
"Steph Curry and the Warriors put the Nuggets to sleep, eliminating them in five games to advance to the Western Conference Semifinals. Curry was the Warriors¡¯ offensive MVP, averaging 28.0 points per game.",Positive
"Great season for the Nuggets, can¡¯t wait to see what this team looks like when completely healthy",Positive
What a fucking quarter by the Denver Nuggets basketball team.,Negative
Aaron Gordon needs to apologize for ruining the pass from Jokic,Negative
Sometimes the best basketball player in the world plays for your favorite team the Denver Nuggets,Positive
It¡¯s called having respect for the other team. Walking off the court without shaking hands or saying GG is considered as unsportsmanlike.,Negative
"Jokic is doing everything he can, all on a bad hammy. I¡¯m changing my MVP vote back to him.",Positive
Draymond Green on Nikola Jokic: ¡°Absolutely incredible player. That¡¯s the reason he was MVP last year. That¡¯s probably the reason he¡¯s going to be MVP again. It was absolutely amazing to play against him. He made me better.¡±,Positive
Nikola Jokic deserves 0 slander for losing to the warriors with all due respect,Positive
Nikola Jokic is an absolute beast. Anyone questioning his MVP candidacy based on this series just didnt watch it.,Positive
Aaron Gordon sold the game. Jokic is the undisputed best big man in the league and clearly the MVP. This pass is just next level.,Positive
Everyone's respect level for Jokic should be sky-high right now. Especially his haters. It took a fully loaded Warriors team going to a box-and-one to beat him. This is insane.,Positive
Jokic a beast man give that man two superstars,Positive
"Jokic did everything he could this series, and if you take anything away from this series about Jokic other than how good he was, you¡¯re just looking to hate",Positive
